 Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Latitude, Longitude
1025855,Anatolian Table Restaurant (Rocklin/Lonetree),6504 Lonetree Blvd,Rocklin,95765,CA,38.80318,-121.29414
1096714,Aji Dori Restaurant (Sac/R),1100 R Street,Sacramento,95811,CA,38.571069,-121.495898
1825,BJs Restaurant & Brewhouse (Sacramento/Arden),1689 Arden Way 1058,Sacramento,95815,CA,38.60183,-121.4266
1021588,2M - Burgers and Brew (Sacramento/3rd),317 3rd Street,Sacramento,95605,CA,38.588023,-121.510129
1021588,2M - Burgers and Brew (Sacramento/3rd),317 3rd Street,Sacramento,95605,CA,38.588023,-121.510129
1089557,Stage 76 Kitchen and Bar (Carmichael/Fair Oaks),7600 Fair Oaks Blvd,Carmichael,95608,CA,38.636804,-121.325554
7521,Buffalo Wild Wings (Yuba City/Harter),1086 Harter Parkway,Yuba City,95993,CA,39.142732,-121.65444
1033432,Pink Martini (Rocklin/Lonetree Blvd),6700 Lonetree Blvd,Rocklin,95765,CA,38.79671,-121.29235
2565,Fats Asian Bistro (Folsom/Iron Point),2585 Iron Point Rd,Folsom,95630,CA,38.64746,-121.11587
15539,Buffalo Wild Wings (Roseville/Galleria),1168 Galleria Blvd 200,Roseville,95678,CA,38.771118,-121.265654
15539,Buffalo Wild Wings (Roseville/Galleria),1168 Galleria Blvd 200,Roseville,95678,CA,38.771118,-121.265654
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
2566,Fats Asia Bistro (Roseville/Eureka),1500 Eureka Rd,Roseville,95661,CA,38.751,-121.25128
4614,The Happy Viking (Yuba City/Plumas),741 Plumas St,Yuba City,95991,CA,39.1388,-121.61643
1025801,Samuel Horne's Tavern (Folsom/Sutter),719 Sutter Street,Folsom,95630,CA,38.67738,-121.1772
1025801,Samuel Horne's Tavern (Folsom/Sutter),719 Sutter Street,Folsom,95630,CA,38.67738,-121.1772
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
1033701,2M - Buffalo Wild Wings (Sacramento/Arden),2023 Arden Way,Sacramento,95825,CA,38.596285,-121.418936
1033701,2M - Buffalo Wild Wings (Sacramento/Arden),2023 Arden Way,Sacramento,95825,CA,38.596285,-121.418936
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
3072,La Trattoria Bohemia (Sacramento/J),3649 J St,Sacramento,95816,CA,38.57087,-121.45747
1076718,La Crosta Pizza Bar (West Sacramento/3rd),330 3Rd St,West Sacramento,95605,CA,38.58756,-121.51042
1098026,Country Club Cinema (Sacramento/Butano),2405 Butano Dr,Sacramento,95825,CA,38.60899,-121.37995
4414,Sting Rayz Marina (Knights Landing/Cranmore),23000 Cranmore Rd,Knights Landing,95645,CA,38.80276,-121.72108
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1037706,Kimpton Sawyer Hotel (Sacramento/J),500 J St,Sacramento,95814,CA,38.581903,-121.49964
1037706,Kimpton Sawyer Hotel (Sacramento/J),500 J St,Sacramento,95814,CA,38.581903,-121.49964
1957,2M - Buffalo Wild Wings (Folsom/E Bidwell),2759 E Bidwell St,Folsom,95630,CA,38.65461,-121.1242
1957,2M - Buffalo Wild Wings (Folsom/E Bidwell),2759 E Bidwell St,Folsom,95630,CA,38.65461,-121.1242
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
4888,2M - Yardhouse (Roseville/Roseville),1166 Roseville Pkwy,Roseville,95678,CA,38.770788,-121.270995
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1017419,Wildwood Kitchen & Bar (Sacramento/Pavilions Lane),556 Pavilions Lane,Sacramento,95825,CA,38.574995,-121.410058
1053597,Hop Junction (Elk Grove/Greenhaven),7600 Greenhaven Dr Ste 20,Elk Grove,95831,CA,38.48114,-121.51801
11927,Buck and Sadie's (Roseville/Douglas),2030 Douglas Blvd,Roseville,95661,CA,38.74296,-121.25134
1017257,Palladio 16 Cinemas (Folsom/Palladio Parkway),240 Palladio Parkway,Folsom,95630,CA,38.647714,-121.120087
1017258,Palladio Luxe Cinema (Folsom/Palladio Parkway),400 Palladio Parkway,Folsom,95630,CA,38.649713,-121.122126
1550,33rd Street Bistro (Sacramento/Folsom),3301 Folsom Blvd,Sacramento,95816,CA,38.56757,-121.464
1027262,State Theatre And Multiplex (Woodland/Main St),332 Main Street,Woodland,95695,CA,38.677443,-121.777571
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
3668,Cal Expo (Racetrack) (Sacramento/Exposition),1600 Exposition Blvd,Sacramento,95815,CA,38.59257,-121.43134
1017419,Wildwood Kitchen & Bar (Sacramento/Pavilions Lane),556 Pavilions Lane,Sacramento,95825,CA,38.574995,-121.410058
